Sexo;Idade;Curso;Curso_recod;Situação_laboral;Extroversão;Amabilidade;Conscienciosidade;Neuroticismo;Abertura;Realista;Investigativo;Artístico;Social;Empreendedor;Convencional;Preocupação;Controle;Curiosidade;Confiança;Autoeficácia_profissional
Feminino;24;Psicologia;Psicologia;Trabalha;2,88;3,89;3,56;1,75;3,50;4,38;5,88;3,88;5,88;4,38;3,63;3,67;3,83;3,00;3,17;3,29
Feminino;22;Psicologia;Psicologia;Não trabalha;4,00;3,56;4,56;2,50;4,00;3,00;5,50;3,25;6,50;5,38;3,50;4,33;5,00;4,83;4,50;4,57
Feminino;24;Psicologia;Psicologia;Trabalha;3,88;3,89;3,89;2,38;3,80;3,13;5,38;4,50;6,00;4,13;2,63;3,83;4,17;4,17;4,33;3,86
Feminino;27;Psicologia;Psicologia;Trabalha;4,50;4,00;3,44;2,75;3,44;2,00;3,00;1,88;6,63;5,00;2,43;4,67;4,00;4,40;4,17;4,43
Feminino;24;Psicologia;Psicologia;Não trabalha;4,00;4,22;3,25;3,00;2,20;3,38;3,88;3,00;7,00;4,00;3,38;4,67;3,50;3,33;4,67;4,57
Feminino;25;Psicologia;Psicologia;Trabalha;4,25;4,11;3,00;3,50;4,10;2,63;5,75;5,88;6,38;3,75;2,25;4,00;3,67;2,83;3,33;4,14
Feminino;24;Psicologia;Psicologia;Trabalha;3,50;3,67;3,11;3,13;3,10;2,88;5,13;4,38;6,38;4,00;2,00;3,50;3,67;3,00;4,50;3,71
Feminino;29;Psicologia;Psicologia;Não trabalha;4,13;4,56;4,22;1,25;4,40;3,75;6,50;5,25;6,38;4,38;4,13;4,50;4,33;4,83;3,83;4,43
Feminino;40;Psicologia;Psicologia;Não trabalha;4,50;4,11;4,44;2,75;3,70;2,88;6,00;4,63;6,50;3,63;2,00;4,17;4,50;3,67;4,33;4,71
Feminino;25;Psicologia;Psicologia;Não trabalha;3,75;3,67;3,33;3,13;3,30;1,38;3,88;2,75;5,75;4,25;2,00;3,83;3,67;2,83;3,50;4,00
Feminino;24;Psicologia;Psicologia;Trabalha;3,25;4,11;3,89;2,38;3,00;2,38;3,75;2,50;7,00;4,50;1,75;3,67;3,67;3,50;4,50;4,43
Feminino;22;Psicologia;Psicologia;Não trabalha;3,38;2,67;2,11;4,13;4,40;1,88;4,00;6,75;5,00;5,00;3,00;2,17;3,50;3,00;2,83;3,71
Feminino;25;Psicologia;Psicologia;Não trabalha;3,13;4,00;4,11;2,63;4,00;3,38;4,13;5,00;5,75;3,75;2,00;3,67;3,83;2,67;3,00;4,71
Feminino;33;Psicologia;Psicologia;Trabalha;3,75;3,78;3,33;2,00;2,60;1,63;5,50;3,75;6,13;4,25;2,50;3,83;3,67;3,33;3,67;4,00
Feminino;24;Psicologia;Psicologia;Trabalha;4,13;4,22;4,33;2,00;2,50;2,00;5,13;2,38;5,63;3,75;1,88;5,00;4,83;4,00;4,17;3,86
Feminino;24;Psicologia;Psicologia;Trabalha;3,00;4,56;3,78;3,13;3,20;2,38;4,88;4,88;6,57;4,13;1,88;3,83;4,17;4,00;4,17;4,71
Feminino;36;Psicologia;Psicologia;Não trabalha;2,88;3,78;3,78;2,75;2,40;2,50;5,38;4,00;6,38;3,00;2,50;4,00;3,67;3,67;3,67;4,14
Feminino;23;Psicologia;Psicologia;Trabalha;3,13;2,78;3,33;3,13;3,50;2,75;4,88;4,25;4,25;4,50;3,38;3,50;2,83;3,50;3,17;2,86
Masculino;55;Psicologia;Psicologia;Trabalha;3,25;4,56;3,44;2,50;4,80;7,00;6,00;6,25;7,00;4,63;1,00;3,17;5,00;5,00;5,00;5,00
Feminino;23;Psicologia;Psicologia;Trabalha;2,88;3,56;3,78;3,00;2,90;1,38;3,00;3,63;4,88;5,00;2,38;4,83;5,00;4,83;4,67;4,57
Feminino;22;Psicologia;Psicologia;Não trabalha;3,13;3,56;3,22;3,13;3,70;2,75;3,75;2,75;5,38;2,88;1,25;3,00;2,83;3,83;3,83;3,71
Feminino;22;Psicologia;Psicologia;Trabalha;3,88;2,67;3,67;2,75;3,30;3,00;3,88;4,88;6,88;6,00;3,50;5,00;3,67;4,50;4,00;3,86
Feminino;24;Psicologia;Psicologia;Não trabalha;4,13;3,78;3,44;2,38;3,40;1,88;4,38;2,75;6,63;6,00;3,75;4,17;4,83;4,83;4,50;4,43
Feminino;22;Psicologia;Psicologia;Trabalha;3,63;2,89;2,89;4,50;3,80;3,63;5,25;5,50;6,75;3,00;6,50;3,67;3,00;3,67;3,33;4,86
Feminino;22;Psicologia;Psicologia;Trabalha;3,25;4,00;3,78;2,63;3,90;2,00;4,25;4,25;6,50;4,25;2,00;4,00;4,33;3,00;4,00;4,00
Feminino;22;Psicologia;Psicologia;Trabalha;3,88;4,00;4,00;2,75;3,70;2,00;6,00;3,88;6,25;3,88;2,25;3,33;4,67;4,00;4,67;4,57
Feminino;32;Psicologia;Psicologia;Trabalha;3,88;3,67;2,78;3,25;2,50;1,75;3,13;1,75;5,88;3,38;2,88;3,00;3,67;3,67;3,00;4,14
Masculino;26;Psicologia;Psicologia;Não trabalha;3,13;3,89;2,89;2,88;3,50;3,63;5,75;5,63;6,13;5,00;3,50;3,67;3,33;3,67;3,83;3,71
Feminino;38;Psicologia;Psicologia;Trabalha;4,00;3,33;3,22;4,00;4,20;4,50;6,00;5,75;5,88;4,38;4,00;3,50;3,33;4,17;3,17;3,86
Feminino;22;Psicologia;Psicologia;Trabalha;3,38;3,11;3,67;2,63;3,30;5,63;5,50;4,25;5,88;5,75;5,25;4,50;4,00;4,33;4,67;3,29
Feminino;23;Psicologia;Psicologia;Trabalha;3,63;3,67;4,22;2,50;4,00;3,63;5,75;3,75;5,38;5,25;2,50;4,17;4,33;3,83;4,67;4,71
Masculino;40;Psicologia;Psicologia;Trabalha;3,50;4,00;3,78;4,25;3,00;1,88;4,75;3,38;5,38;5,25;3,00;4,00;4,00;4,00;4,00;3,00
Feminino;25;Psicologia;Psicologia;Trabalha;2,75;3,33;3,89;2,13;2,70;4,38;3,75;3,75;5,25;3,38;4,88;3,67;3,50;3,33;3,33;3,86
Feminino;22;Psicologia;Psicologia;Trabalha;4,88;3,11;4,00;2,88;2,60;1,50;4,88;2,00;6,00;6,75;2,75;4,83;4,17;3,67;4,83;4,43
Feminino;21;Arquitetura e Urbanismo;;Não trabalha;2,13;4,22;3,67;2,50;4,20;3,38;4,38;6,88;5,50;3,25;3,63;3,50;3,33;3,33;3,83;3,43
Feminino;22;Arquitetura e Urbanismo;;Trabalha;3,13;2,78;3,33;3,00;4,10;3,88;4,13;5,75;5,38;5,00;2,75;3,33;4,33;3,50;3,33;3,71
Feminino;23;Arquitetura e Urbanismo;;Trabalha;2,88;3,44;3,67;2,63;3,60;3,38;3,13;4,38;4,88;4,50;3,13;2,83;3,67;4,00;4,67;3,71
Masculino;23;Arquitetura e Urbanismo;;Trabalha;3,88;3,56;3,89;2,75;4,20;4,63;4,88;4,75;4,63;5,00;4,63;5,00;4,67;5,00;5,00;5,00
Feminino;22;Arquitetura e Urbanismo;;Trabalha;4,50;4,33;3,22;2,50;4,60;5,88;5,38;5,63;5,75;5,50;4,00;2,67;3,00;3,33;5,00;4,00
Feminino;27;Arquitetura e Urbanismo;;Trabalha;2,88;3,67;3,00;2,50;4,50;5,38;5,75;5,13;5,25;2,88;2,00;3,33;3,83;3,33;5,00;4,00
Feminino;26;Arquitetura e Urbanismo;;Trabalha;2,71;4,00;3,22;3,13;3,40;4,38;3,75;4,88;5,13;4,25;3,71;3,50;4,67;3,50;4,67;5,00
Masculino;23;Arquitetura e Urbanismo;;Trabalha;3,25;4,44;4,22;1,50;3,80;4,38;4,88;5,00;5,00;4,88;3,75;4,00;4,00;3,83;3,83;4,86
Feminino;22;Arquitetura e Urbanismo;;Trabalha;4,38;4,33;2,44;3,38;4,10;3,25;2,25;5,38;6,00;6,00;4,13;5,00;3,67;4,83;5,00;5,00
Feminino;22;Arquitetura e Urbanismo;;Trabalha;2,88;3,33;4,00;3,50;3,10;4,38;3,63;5,50;5,75;5,38;3,38;4,67;4,00;4,67;4,83;3,57
Feminino;24;Arquitetura e Urbanismo;;Trabalha;3,63;3,78;3,56;2,88;3,50;3,88;4,88;5,75;6,50;6,50;3,88;4,67;4,50;4,67;4,50;3,43
Feminino;21;Arquitetura e Urbanismo;;Trabalha;2,38;3,89;2,22;2,75;2,90;4,00;4,88;4,88;5,13;3,50;3,13;2,00;2,83;2,50;1,83;2,57
Feminino;23;Arquitetura e Urbanismo;;Trabalha;4,25;4,33;3,78;4,00;2,70;4,13;4,38;5,38;5,38;5,00;4,88;4,67;3,33;2,67;4,67;4,43
Feminino;27;Arquitetura e Urbanismo;;;3,63;4,56;3,67;3,00;4,50;4,75;7,00;6,75;5,88;4,38;4,13;3,50;4,33;4,00;3,83;4,57
Masculino;22;Arquitetura e Urbanismo;;Trabalha;3,88;4,00;3,33;2,25;4,40;5,00;5,75;5,25;5,38;4,88;3,63;3,67;3,67;4,00;3,00;3,71
Feminino;23;Arquitetura e Urbanismo;;Não trabalha;4,38;3,78;3,11;2,50;4,20;3,75;3,00;4,63;3,75;5,25;3,50;3,00;3,33;2,67;3,67;4,00
Feminino;44;Arquitetura e Urbanismo;;Trabalha;3,13;4,22;3,78;2,38;2,80;5,38;4,13;5,50;5,25;4,63;3,38;4,17;4,67;3,67;4,33;4,14
Feminino;26;Arquitetura e Urbanismo;;Trabalha;2,38;2,89;3,67;4,13;4,20;3,63;2,75;4,75;4,00;4,75;1,50;4,17;4,67;4,00;4,33;4,71
Feminino;26;Arquitetura e Urbanismo;;Trabalha;3,75;3,67;2,11;2,50;2,70;3,00;2,25;4,75;4,75;4,50;2,50;3,33;5,00;3,50;4,33;3,43
Masculino;22;Arquitetura e Urbanismo;;Trabalha;3,13;3,78;3,22;2,63;3,00;6,13;4,38;5,25;4,63;4,25;4,00;3,83;3,83;4,00;4,17;3,71
Feminino;23;Arquitetura e Urbanismo;;Não trabalha;3,25;3,67;3,44;2,75;3,60;3,50;4,25;4,63;5,13;3,63;3,25;3,67;3,33;3,50;3,00;4,14
Feminino;26;Arquitetura e Urbanismo;;Trabalha;2,50;3,44;3,22;3,13;3,80;6,13;5,25;5,00;6,13;5,25;4,00;4,83;4,67;4,50;4,67;5,00
Feminino;23;Arquitetura e Urbanismo;;Trabalha;2,00;3,44;3,11;3,63;3,90;3,00;4,50;5,63;4,38;4,38;2,38;4,00;3,50;2,50;4,17;4,14
Feminino;28;Arquitetura e Urbanismo;;Trabalha;3,00;3,50;3,11;3,00;4,10;5,00;4,88;5,38;4,88;4,63;3,00;3,17;3,33;3,33;3,50;3,86
Masculino;22;Arquitetura e Urbanismo;;Trabalha;3,00;2,78;4,78;3,63;4,70;4,38;5,75;5,38;3,38;5,88;5,00;5,00;4,33;4,33;5,00;5,00
Masculino;22;Arquitetura e Urbanismo;;Trabalha;2,63;3,22;3,56;2,00;4,00;3,75;4,00;5,75;4,50;4,50;3,63;3,17;4,00;3,67;3,83;3,57
Feminino;22;Arquitetura e Urbanismo;;Não trabalha;3,00;3,56;3,44;3,00;2,80;2,75;1,86;3,50;4,38;3,00;2,25;2,83;2,83;2,17;2,83;4,43
Feminino;25;Arquitetura e Urbanismo;;Não trabalha;4,25;3,11;2,67;2,25;4,00;4,88;4,13;4,88;5,75;6,13;4,88;4,00;4,33;4,00;4,50;3,57
Masculino;22;Arquitetura e Urbanismo;;Trabalha;4,63;4,78;2,78;2,25;3,60;4,25;4,63;6,00;5,88;5,50;4,13;4,00;4,33;4,17;4,17;3,71
Masculino;23;Arquitetura e Urbanismo;;Trabalha;4,75;3,44;3,67;2,38;4,50;3,63;6,50;6,75;6,75;5,25;2,38;5,00;4,67;5,00;5,00;4,43
Feminino;23;Engenharia Quimica;Engenharias;Trabalha;3,25;3,78;2,67;3,38;3,10;4,75;4,00;3,00;3,25;3,50;4,13;4,17;3,00;4,00;4,33;2,86
Masculino;27;Engenharia Quimica;Engenharias;Trabalha;3,75;4,11;2,89;2,38;3,20;4,88;5,13;2,13;5,50;5,25;2,63;3,50;4,00;3,50;3,33;3,00
Masculino;30;Engenharia Quimica;Engenharias;Trabalha;3,75;3,44;3,89;2,25;3,20;5,00;4,63;4,38;4,88;5,38;4,75;4,00;4,00;4,17;4,33;4,43
Feminino;24;Engenharia Quimica;Engenharias;Trabalha;3,38;3,44;4,67;3,00;3,70;5,00;5,50;4,00;4,75;5,00;3,75;3,67;3,67;3,50;4,50;3,71
Masculino;22;Engenharia Quimica;Engenharias;Trabalha;3,00;3,11;3,78;4,00;2,60;3,50;2,63;1,38;3,75;5,75;5,38;3,33;4,00;2,83;3,83;3,57
Masculino;24;Engenharia Quimica;Engenharias;Não trabalha;3,00;3,56;3,22;3,00;3,80;4,75;5,63;4,00;6,38;4,88;2,38;3,33;3,00;3,83;3,50;3,00
Feminino;22;Engenharia Quimica;Engenharias;Não trabalha;3,38;3,56;2,44;4,25;2,80;4,50;3,88;3,75;4,38;4,50;3,25;2,83;2,67;2,67;2,67;3,00
Masculino;24;Engenharia Quimica;Engenharias;Trabalha;2,75;2,67;3,89;2,13;4,30;3,13;3,88;2,75;2,38;6,63;4,00;4,33;4,00;5,00;5,00;5,00
Masculino;22;Engenharia Quimica;Engenharias;Não trabalha;3,13;4,00;4,33;1,63;3,80;5,25;4,75;4,38;5,75;5,75;4,25;4,67;5,00;4,00;4,17;4,71
Feminino;24;Engenharia Quimica;Engenharias;Não trabalha;3,00;4,22;3,56;2,88;3,20;3,63;4,50;3,13;4,63;3,38;3,63;4,00;4,00;3,00;4,00;3,29
Feminino;22;Engenharia Quimica;Engenharias;Trabalha;4,00;3,78;4,11;2,88;3,70;5,38;6,00;6,50;5,25;5,50;5,38;4,17;4,50;5,00;4,67;4,57
Masculino;23;Engenharia Quimica;Engenharias;Trabalha;3,88;4,00;2,67;3,63;3,20;2,63;2,50;1,13;3,00;5,38;2,38;3,50;4,00;3,67;3,50;4,43
